IdR,nom_repas,date_repas,adr_repas,nom_chevalier_dame
1,Banquet royal #238,2010-08-25,"91, rue Franck Lefebvre, 73185 Sainte FrédériqueBo",Eugène-Thibault Paris
2,Agapes fraternelles #1143,2006-08-29,"764, rue Victor Renard, 76226 Becker-les-Bains",Antoinette Marchand
3,Banquet royal #1106,2006-01-10,"77, chemin Valette, 97495 Sainte Aiméedan",Agathe Lecomte
4,Déjeuner des preux #3479,2006-11-08,"13, rue Breton, 10575 Lebon",Michelle Raymond
5,Déjeuner des preux #7171,2001-04-10,"20, rue de Bourgeois, 21828 Lopes",Catherine Barthelemy
6,Souper d'apparat #9538,2015-03-18,"8, rue de Delaunay, 03787 Bernier-sur-Mer",Adrien Vallée
7,Dîner de gala #930,2019-10-06,"2, chemin Andre, 97316 Pereira",Danielle Renault
8,Dîner de gala #7205,2004-08-31,"31, rue Claire Lucas, 80919 Clément",Sophie-Christiane Fouquet
9,Festin des chevaliers #3812,2018-06-21,"813, rue Étienne, 90742 Olivier-les-Bains",Daniel Robert du Dupré
10,Banquet royal #617,2022-10-02,"72, rue de Bègue, 68201 Sainte Martine-la-Forêt",Christelle Martel
11,Dîner de gala #7426,2013-02-25,"4, chemin Blot, 31790 Langlois",Honoré Normand de la Reynaud
12,Agapes fraternelles #7432,2008-08-09,"avenue Noël, 86414 Thomas-sur-Carpentier",Auguste Paris
13,Agapes fraternelles #1803,2022-01-21,"8, avenue Fournier, 38338 Lecoqnec",Vincent de Dos Santos
14,Souper d'apparat #2967,2005-03-16,"chemin Élodie Le Goff, 63400 SchmittBourg",Hélène Lévy
15,Banquet royal #6040,2007-10-28,"732, chemin de Laporte, 34463 Weber",Corinne de Legrand
16,Déjeuner des preux #389,2019-12-07,"86, avenue Aimée Guérin, 28129 PaulBourg",Étienne Perrin-Faivre
17,Festin des chevaliers #2461,2018-12-08,"329, chemin Sylvie Dumont, 56617 Delmas",Lucy Hamel
18,Déjeuner des preux #2248,2003-11-14,"90, chemin de Leleu, 27184 Legrosdan",Élise Dijoux de Menard
19,Souper d'apparat #3328,2017-01-08,"84, rue Munoz, 66734 Voisin",Philippine Lucas
20,Déjeuner des preux #5513,2013-04-11,"avenue Lucie Dijoux, 97125 Prévost",Corinne Marion
21,Souper d'apparat #247,2006-04-04,"93, avenue de Delattre, 97194 Sainte Xavier",Thibaut du Pruvost
22,Dîner de gala #4723,2014-12-10,"17, rue Guichard, 71795 Martel",Noémi Regnier-Cousin
23,Déjeuner des preux #7605,2013-05-30,"21, rue Bouvet, 85214 Auger",Eugène Rousset
24,Agapes fraternelles #2054,2019-04-27,"16, chemin Alix Moulin, 88427 Martel",Isaac Leconte
25,Festin des chevaliers #8143,2010-04-16,"4, avenue Pelletier, 97128 Coulon",Roger Pruvost
